type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,combined_features,normalized_title
Movie,Spanish Affair 2,Emilio Martínez Lázaro,"Dani Rovira, Clara Lago, Karra Elejalde, Carmen Machi, Belén Cuesta, Berto Romero, Rosa María Sardà, Alfonso Sánchez, Alberto López, Josep Maria Riera",Spain,"November 1, 2016",2015,TV-MA,107 min,"Comedies, International Movies, Romantic Movies",spanish provincialism is put into the spotlight as a man from the basque country embarks on a mission to keep his daughter from marrying a catalan.,"spanish provincialism is put into the spotlight as a man from the basque country embarks on a mission to keep his daughter from marrying a catalan. Dani Rovira, Clara Lago, Karra Elejalde, Carmen Machi, Belén Cuesta, Berto Romero, Rosa María Sardà, Alfonso Sánchez, Alberto López, Josep Maria Riera Emilio Martínez Lázaro",spanish affair 2
Movie,Pup Star,Robert Vince,"Makenzie Moss, Jed Rees, David DeLuise, Carla Jimenez, Tom Everett Scott, Diedrich Bader, George Newbern, Bonnie Somerville, John Ratzenberger",Canada,"October 29, 2016",2016,G,92 min,"Children & Family Movies, Comedies","after a singing pup with big dreams of stardom gets dognapped and escapes with a friend's help, her journey home is a fun, music-filled adventure.","after a singing pup with big dreams of stardom gets dognapped and escapes with a friend's help, her journey home is a fun, music-filled adventure. Makenzie Moss, Jed Rees, David DeLuise, Carla Jimenez, Tom Everett Scott, Diedrich Bader, George Newbern, Bonnie Somerville, John Ratzenberger Robert Vince",pup star
Movie,I Am the Pretty Thing That Lives in the House,Osgood Perkins,"Ruth Wilson, Bob Balaban, Lucy Boynton, Paula Prentiss","Canada, United States","October 28, 2016",2016,TV-14,89 min,"Horror Movies, International Movies, Thrillers",a nervous nurse who scares easily finds herself caring for an ailing horror novelist while living in a house with hidden secrets.,"a nervous nurse who scares easily finds herself caring for an ailing horror novelist while living in a house with hidden secrets. Ruth Wilson, Bob Balaban, Lucy Boynton, Paula Prentiss Osgood Perkins",i am the pretty thing that lives in the house
Movie,Into the Inferno,Werner Herzog,Werner Herzog,"United Kingdom, Germany, Canada","October 28, 2016",2016,TV-PG,107 min,Documentaries,"with stunning views of eruptions and lava flows, werner herzog captures the raw power of volcanoes and their ties to indigenous spiritual practices.","with stunning views of eruptions and lava flows, werner herzog captures the raw power of volcanoes and their ties to indigenous spiritual practices. Werner Herzog Werner Herzog",into the inferno
Movie,The African Doctor,Julien Rambaldi,"Marc Zinga, Aïssa Maïga, Bayron Lebli, Médina Diarra, Rufus, Jonathan Lambert, Jean-Benoît Ugeux",France,"October 28, 2016",2016,TV-14,94 min,"Comedies, Dramas, International Movies","happily escaping a dictatorship, a congolese doctor transplants his family to a small french village, where culture shock sets in for everyone.","happily escaping a dictatorship, a congolese doctor transplants his family to a small french village, where culture shock sets in for everyone. Marc Zinga, Aïssa Maïga, Bayron Lebli, Médina Diarra, Rufus, Jonathan Lambert, Jean-Benoît Ugeux Julien Rambaldi",the african doctor
Movie,They Are Everywhere,Yvan Attal,"Yvan Attal, Benoît Poelvoorde, Charlotte Gainsbourg, Valérie Bonneton, Dany Boon, Grégory Gadebois, Denis Podalydès, François Damiens, Yamée Couture, Freya Mavor, Rivka Michaeli","France, Belgium","October 28, 2016",2016,TV-MA,110 min,"Comedies, International Movies","in counseling sessions with his therapist, preoccupied yvan shares stories of anti-semitism and what it's like to live as a jew in modern france.","in counseling sessions with his therapist, preoccupied yvan shares stories of anti-semitism and what it's like to live as a jew in modern france. Yvan Attal, Benoît Poelvoorde, Charlotte Gainsbourg, Valérie Bonneton, Dany Boon, Grégory Gadebois, Denis Podalydès, François Damiens, Yamée Couture, Freya Mavor, Rivka Michaeli Yvan Attal",they are everywhere
Movie,West Coast,Benjamin Weill,"Devi Couzigou, Mathis Crusson, Victor Le Blond, Sullivan Loyez, Pierre-François Martin-Laval, Hugo Chalan-Marchio",France,"October 28, 2016",2016,TV-MA,81 min,"Comedies, Dramas, International Movies",four small-town french teens who style themselves after american rappers set out to avenge a classroom insult and end up on a mind-blowing adventure.,"four small-town french teens who style themselves after american rappers set out to avenge a classroom insult and end up on a mind-blowing adventure. Devi Couzigou, Mathis Crusson, Victor Le Blond, Sullivan Loyez, Pierre-François Martin-Laval, Hugo Chalan-Marchio Benjamin Weill",west coast
Movie,7 años,Roger Gual,"Paco León, Juana Acosta, Juan Pablo Raba, Alex Brendemühl, Manuel Morón",Spain,"October 27, 2016",2016,TV-MA,77 min,"Dramas, International Movies",loyalties are tested and cruelties revealed when four business partners spend a tense evening debating who will pay for the crime they committed.,"loyalties are tested and cruelties revealed when four business partners spend a tense evening debating who will pay for the crime they committed. Paco León, Juana Acosta, Juan Pablo Raba, Alex Brendemühl, Manuel Morón Roger Gual",7 años
Movie,Joe Rogan: Triggered,Anthony Giordano,Joe Rogan,United States,"October 21, 2016",2016,TV-MA,64 min,Stand-Up Comedy,"unleashing his inquisitive, intense comedic style, rogan explores everything from raising kids and santa claus to pot gummies and talking to dolphins.","unleashing his inquisitive, intense comedic style, rogan explores everything from raising kids and santa claus to pot gummies and talking to dolphins. Joe Rogan Anthony Giordano",joe rogan: triggered
Movie,A Mighty Team,Thomas Sorriaux,"Gérard Depardieu, Chantal Lauby, Medi Sadoun, Ilian Bergala, Blanche Gardin, Patrick Timsit, Barbara Cabrita, Jean Dell, Thomas Vandenberghe, Théo Fernandez, Léa Lopez",France,"October 15, 2016",2016,TV-MA,97 min,"Comedies, International Movies, Sports Movies","when a fit of anger leads to a serious injury, a sidelined soccer star returns to his hometown and reluctantly agrees to train the local youth.","when a fit of anger leads to a serious injury, a sidelined soccer star returns to his hometown and reluctantly agrees to train the local youth. Gérard Depardieu, Chantal Lauby, Medi Sadoun, Ilian Bergala, Blanche Gardin, Patrick Timsit, Barbara Cabrita, Jean Dell, Thomas Vandenberghe, Théo Fernandez, Léa Lopez Thomas Sorriaux",a mighty team
Movie,Berserk: The Golden Age Arc I - The Egg of the King,Toshiyuki Kubooka,"Hiroaki Iwanaga, Takahiro Sakurai, Toa Yukinari, Yuki Kaji, Minako Kotobuki, Takahiro Fujiwara, Yoshiro Matsumoto, Kazuki Yao, Aki Toyosaki, Rikiya Koyama, Kenta Miyake",Japan,"October 15, 2016",2012,TV-MA,77 min,"Action & Adventure, Anime Features, International Movies","loner guts is recruited by griffith and his band of mercenaries, but their ensuing success as a full-fledged army could lead to a horrible fate.","loner guts is recruited by griffith and his band of mercenaries, but their ensuing success as a full-fledged army could lead to a horrible fate. Hiroaki Iwanaga, Takahiro Sakurai, Toa Yukinari, Yuki Kaji, Minako Kotobuki, Takahiro Fujiwara, Yoshiro Matsumoto, Kazuki Yao, Aki Toyosaki, Rikiya Koyama, Kenta Miyake Toshiyuki Kubooka",berserk: the golden age arc i - the egg of the king
Movie,Bleach The Movie: Fade to Black,Noriyuki Abe,"Masakazu Morita, Fumiko Orikasa, Aya Hirano, Hiroshi Kamiya, Mitsuaki Madono, Ryotaro Okiayu, Kentaro Ito, Shinichiro Miki, Satsuki Yukino, Masaaki Tsukada",Japan,"October 15, 2016",2008,TV-PG,94 min,"Action & Adventure, Anime Features, Sci-Fi & Fantasy","when his mind is fogged by a scimitar-weilding stranger, mayuri destroys his laboratory, unleashing a cloud of reishi that lays waste to the seiretei.","when his mind is fogged by a scimitar-weilding stranger, mayuri destroys his laboratory, unleashing a cloud of reishi that lays waste to the seiretei. Masakazu Morita, Fumiko Orikasa, Aya Hirano, Hiroshi Kamiya, Mitsuaki Madono, Ryotaro Okiayu, Kentaro Ito, Shinichiro Miki, Satsuki Yukino, Masaaki Tsukada Noriyuki Abe",bleach the movie: fade to black
Movie,Bleach the Movie: Hell Verse,Noriyuki Abe,"Masakazu Morita, Fumiko Orikasa, Kazuya Nakai, Noriaki Sugiyama, Kentarô Itô, Yuki Matsuoka, Ryotaro Okiayu, Romi Park",Japan,"October 15, 2016",2010,TV-14,94 min,"Action & Adventure, Anime Features, Sci-Fi & Fantasy","when a group of vicious sinners plots to escape from this eternal prison in hell, they discover that substitute soul reaper ichigo is the key to their freedom. the sinners launch an attack and in the process kidnap ichigo's younger sister.","when a group of vicious sinners plots to escape from this eternal prison in hell, they discover that substitute soul reaper ichigo is the key to their freedom. the sinners launch an attack and in the process kidnap ichigo's younger sister. Masakazu Morita, Fumiko Orikasa, Kazuya Nakai, Noriaki Sugiyama, Kentarô Itô, Yuki Matsuoka, Ryotaro Okiayu, Romi Park Noriyuki Abe",bleach the movie: hell verse
Movie,Blind Date,Clovis Cornillac,"Mélanie Bernier, Clovis Cornillac, Lilou Fogli, Philippe Duquesne, Grégoire Oestermann, Oscar Copp, Boris Terral, Manu Payet",France,"October 15, 2016",2015,TV-14,91 min,"Comedies, International Movies, Music & Musicals","a passionate pianist and a soulful puzzle maker who treasures silence aren't the best neighbors, but things get interesting when they start to date.","a passionate pianist and a soulful puzzle maker who treasures silence aren't the best neighbors, but things get interesting when they start to date. Mélanie Bernier, Clovis Cornillac, Lilou Fogli, Philippe Duquesne, Grégoire Oestermann, Oscar Copp, Boris Terral, Manu Payet Clovis Cornillac",blind date
Movie,Sky Ladder: The Art of Cai Guo-Qiang,Kevin MacDonald,Cai Guo-Qiang,United States,"October 14, 2016",2016,TV-MA,80 min,Documentaries,"known for his spectacular pyrotechnic displays, chinese artist cai guo-qiang creates his most ambitious project yet in this breathtaking documentary.","known for his spectacular pyrotechnic displays, chinese artist cai guo-qiang creates his most ambitious project yet in this breathtaking documentary. Cai Guo-Qiang Kevin MacDonald",sky ladder: the art of cai guo-qiang
Movie,Mascots,Christopher Guest,"Carrie Aizley, Sarah Baker, Bob Balaban, Ed Begley Jr., Tom Bennett, Maria Blasucci, Jennifer Coolidge, Kerry Godliman, Matt Griesser, Christopher Guest, John Michael Higgins, Michael Hitchcock, Don Lake, Jane Lynch, Christopher Moynihan, Chris O'Dowd, Jim Piddock, Parker Posey, Harry Shearer, Fred Willard, Zach Woods, Susan Yeagley",United States,"October 13, 2016",2016,TV-MA,95 min,Comedies,"eager contestants don big heads and furry suits to vie for the title of world's best mascot in this offbeat, comic romp from christopher guest.","eager contestants don big heads and furry suits to vie for the title of world's best mascot in this offbeat, comic romp from christopher guest. Carrie Aizley, Sarah Baker, Bob Balaban, Ed Begley Jr., Tom Bennett, Maria Blasucci, Jennifer Coolidge, Kerry Godliman, Matt Griesser, Christopher Guest, John Michael Higgins, Michael Hitchcock, Don Lake, Jane Lynch, Christopher Moynihan, Chris O'Dowd, Jim Piddock, Parker Posey, Harry Shearer, Fred Willard, Zach Woods, Susan Yeagley Christopher Guest",mascots
Movie,Justin Timberlake + the Tennessee Kids,Jonathan Demme,Justin Timberlake,United States,"October 12, 2016",2016,TV-MA,90 min,Music & Musicals,"on the final nights of a world tour, director jonathan demme captures what makes the show soar: gifted musicians, deft dancers and a magnetic star.","on the final nights of a world tour, director jonathan demme captures what makes the show soar: gifted musicians, deft dancers and a magnetic star. Justin Timberlake Jonathan Demme",justin timberlake + the tennessee kids
Movie,Russell Peters: Almost Famous,Dave Higby,Russell Peters,United States,"October 7, 2016",2016,TV-MA,73 min,Stand-Up Comedy,"the comic comes home to toronto to sound off on cultural quirks, kids' furniture and bathroom visits, reveling in all things ridiculously human.","the comic comes home to toronto to sound off on cultural quirks, kids' furniture and bathroom visits, reveling in all things ridiculously human. Russell Peters Dave Higby",russell peters: almost famous
Movie,The Siege of Jadotville,Richie Smyth,"Jamie Dornan, Guillaume Canet, Emmanuelle Seigner, Jason O'Mara, Mikael Persbrandt, Mark Strong, Michael McElhatton, Danny Sapani, Sam Keeley, Ronan Raftery, Mike Noble, Charlie Kelly, Conor MacNeill, Fionn O'Shea, Conor Quinlan, Jordan Mifsud","Ireland, South Africa","October 7, 2016",2016,TV-MA,108 min,"Action & Adventure, Dramas, International Movies","besieged by overwhelming enemy forces, irish soldiers on a u.n. peacekeeping mission in africa valiantly defend their outpost in this true story.","besieged by overwhelming enemy forces, irish soldiers on a u.n. peacekeeping mission in africa valiantly defend their outpost in this true story. Jamie Dornan, Guillaume Canet, Emmanuelle Seigner, Jason O'Mara, Mikael Persbrandt, Mark Strong, Michael McElhatton, Danny Sapani, Sam Keeley, Ronan Raftery, Mike Noble, Charlie Kelly, Conor MacNeill, Fionn O'Shea, Conor Quinlan, Jordan Mifsud Richie Smyth",the siege of jadotville
Movie,LEGO Jurassic World: The Indominus Escape,Michael D. Black,"A.J. LoCascio, Sendhil Ramamurthy, Fred Tatasciore, Jake Johnson, Lauren Lapkus, Zachary Levi, BD Wong, David Gunning",United States,"October 4, 2016",2016,TV-Y7,25 min,"Children & Family Movies, Comedies",the scientists of jurassic world create a captivating and terrifying new creature that loves hot dogs. but what happens when the hot dogs run out?,"the scientists of jurassic world create a captivating and terrifying new creature that loves hot dogs. but what happens when the hot dogs run out? A.J. LoCascio, Sendhil Ramamurthy, Fred Tatasciore, Jake Johnson, Lauren Lapkus, Zachary Levi, BD Wong, David Gunning Michael D. Black",lego jurassic world: the indominus escape
Movie,Bombshell,Riccardo Pilizzeri,"Ande Cunningham, Mark Mitchinson, Mia Pistorius, Nathalie Boltt, Nathan Lovejoy, Colin Moy, Jay Simon, Coen Falke, Greta Gregory, Byron Coll",New Zealand,"October 1, 2016",2016,TV-MA,86 min,Dramas,"in 1985, when a vessel protesting nuclear testing is sunk in new zealand, local police fight to prove it was a terrorist plot by their french allies.","in 1985, when a vessel protesting nuclear testing is sunk in new zealand, local police fight to prove it was a terrorist plot by their french allies. Ande Cunningham, Mark Mitchinson, Mia Pistorius, Nathalie Boltt, Nathan Lovejoy, Colin Moy, Jay Simon, Coen Falke, Greta Gregory, Byron Coll Riccardo Pilizzeri",bombshell
